epoch,time_sec,avg_auc,avg_prauc,avg_acc,use_phe,phe_keybits
0,61.31323957443237,nan,nan,0.0,0,2048
0,57.816378593444824,0.726790450928382,0.5427639735820666,0.6904761904761904,0,1024
0,59.30435371398926,nan,nan,0.0,0,1024
1,59.97341823577881,nan,nan,0.0,0,1024
2,60.14872336387634,nan,nan,0.0,0,1024
3,61.77010488510132,0.8355437665782494,0.711915221530606,0.6904761904761904,0,1024
4,60.968998432159424,0.8594164456233422,0.7621296802744766,0.6904761904761904,0,1024
5,62.59679412841797,0.83289124668435,0.7195278182736375,0.6904761904761904,0,1024
6,50.18546223640442,0.8859416445623344,0.8074890921044767,0.6904761904761904,0,1024
7,49.4649498462677,0.8275862068965517,0.715449256625727,0.6904761904761904,0,1024
8,49.64157319068909,0.8408488063660476,0.7569979336283682,0.6904761904761904,0,1024
9,49.71614360809326,0.83289124668435,0.7611834319526626,0.6904761904761904,0,1024
10,49.95575261116028,0.7904509283819628,0.7148752185291641,0.6904761904761904,0,1024
11,49.171446084976196,0.8461538461538463,0.7481262208459162,0.6904761904761904,0,1024
12,49.143218994140625,0.7984084880636605,0.6986104536837847,0.6904761904761904,0,1024
13,48.960692405700684,0.7718832891246684,0.640530950195197,0.6904761904761904,0,1024
14,49.56591200828552,0.8196286472148543,0.7116241787901707,0.7380952380952381,0,1024
15,49.127673625946045,0.8090185676392573,0.6715389481693826,0.7380952380952381,0,1024
16,48.895368337631226,0.8196286472148541,0.7264500267932762,0.7380952380952381,0,1024
17,48.826369524002075,0.8938992042440318,0.8223596006103747,0.8095238095238096,0,1024
18,49.074888706207275,0.8541114058355438,0.7567068558971393,0.7380952380952381,0,1024
19,49.33547854423523,0.8143236074270558,0.6539241735216967,0.7380952380952381,0,1024
20,48.978561878204346,0.8090185676392573,0.6723941752374246,0.7619047619047619,0,1024
21,49.3418653011322,0.806366047745358,0.6519729439234083,0.6904761904761904,0,1024
22,49.074913024902344,0.7718832891246684,0.5771889301414188,0.6666666666666666,0,1024
23,49.66961598396301,0.7851458885941645,0.5963315467840355,0.7142857142857143,0,1024
24,49.33050203323364,0.7612732095490716,0.5874538726006338,0.7142857142857143,0,1024
25,48.85249710083008,0.7931034482758621,0.5811975332879531,0.7380952380952381,0,1024
26,49.49570274353027,0.7745358090185676,0.6201519612129691,0.6666666666666666,0,1024
27,49.24397540092468,0.7824933687002652,0.5888872333376978,0.6904761904761904,0,1024
28,49.315064430236816,0.8143236074270557,0.686975665412239,0.6904761904761904,0,1024
29,48.94364857673645,0.7480106100795756,0.5588626185268654,0.6904761904761904,0,1024
30,49.02318239212036,0.7851458885941645,0.6310938358819216,0.6666666666666666,0,1024
31,49.036399126052856,0.6976127320954908,0.48317149396870757,0.6904761904761904,0,1024
32,49.09426212310791,0.70026525198939,0.4947613660848955,0.6904761904761904,0,1024
33,49.442866802215576,0.7586206896551723,0.5634465921736701,0.7142857142857143,0,1024
34,49.21499037742615,0.7612732095490716,0.5416833908719292,0.6904761904761904,0,1024
35,48.969250440597534,0.7533156498673742,0.5651895984132826,0.7142857142857143,0,1024
36,49.06470036506653,0.7453580901856763,0.49240353685459654,0.7142857142857143,0,1024
37,49.25441789627075,0.7374005305039789,0.51836728817596,0.6904761904761904,0,1024
38,49.16265559196472,0.7453580901856766,0.5561813928699312,0.6666666666666666,0,1024
39,49.288941621780396,0.742705570291777,0.5217995681737049,0.6904761904761904,0,1024
40,49.392964363098145,0.7427055702917773,0.5098714769175128,0.6428571428571429,0,1024
41,49.02524018287659,0.7214854111405836,0.49927452593304295,0.6904761904761904,0,1024
42,49.46403479576111,0.7108753315649867,0.48980069472746307,0.6904761904761904,0,1024
43,49.02497339248657,0.6763925729442971,0.4686579614717267,0.6666666666666666,0,1024
44,48.98080563545227,0.7214854111405836,0.49436550126595374,0.6666666666666666,0,1024
45,49.201205253601074,0.713527851458886,0.48967984629749334,0.6904761904761904,0,1024
46,49.08325719833374,0.7294429708222813,0.5165910577675283,0.6904761904761904,0,1024
47,48.993982791900635,0.7294429708222813,0.5054299384420062,0.6904761904761904,0,1024
48,48.9769172668457,0.7320954907161804,0.5271915314449251,0.6904761904761904,0,1024
49,49.00694441795349,0.7320954907161803,0.4702247540988907,0.6904761904761904,0,1024
50,49.01228904724121,0.7241379310344828,0.4382691740663877,0.6904761904761904,0,1024
0,116.3930401802063,nan,nan,0.0,0,1024
1,115.21360683441162,0.5888594164456233,0.4238668018988385,0.6904761904761904,0,1024
2,116.59147763252258,0.6578249336870026,0.4409873246411708,0.6904761904761904,0,1024
3,116.95772051811218,0.7214854111405836,0.5422852125769897,0.6904761904761904,0,1024
0,114.86003494262695,0.5305039787798409,0.326259052531872,0.6904761904761904,0,1024
0,115.32560682296753,0.47480106100795744,0.33659906582073007,0.6904761904761904,0,1024
0,115.77950978279114,nan,nan,0.0,0,1024
1,116.65651559829712,0.6259946949602122,0.5231981330443363,0.6904761904761904,0,1024
